,year,divorce,happy,female,unem10
2273,1994,0,2,1,0.0
2275,1994,1,2,0,1.0
2276,1994,0,2,0,0.0
2277,1994,0,2,0,1.0
2281,1994,0,2,1,1.0
2282,1994,0,3,0,0.0
2283,1994,0,3,1,0.0
2285,1994,0,2,1,0.0
2290,1994,0,3,1,1.0
2291,1994,0,2,1,1.0
2292,1994,0,3,0,0.0
2293,1994,0,2,0,1.0
2294,1994,1,2,1,0.0
2300,1994,0,3,0,0.0
2308,1994,0,1,0,0.0
2309,1994,0,2,1,0.0
2310,1994,0,2,0,0.0
2311,1994,1,2,0,1.0
2314,1994,0,2,1,0.0
2316,1994,0,2,0,1.0
2317,1994,0,2,0,1.0
2318,1994,1,3,0,0.0
2321,1994,0,3,1,0.0
2322,1994,0,2,0,0.0
2324,1994,0,2,0,1.0
2327,1994,0,2,0,1.0
2332,1994,0,3,1,0.0
2335,1994,0,3,1,0.0
2336,1994,0,2,0,0.0
2337,1994,0,3,1,0.0
2339,1994,0,2,1,0.0
2341,1994,1,3,1,0.0
2342,1994,0,2,1,0.0
2343,1994,1,1,0,0.0
2345,1994,0,2,1,1.0
2350,1994,1,2,1,0.0
2354,1994,0,1,1,0.0
2356,1994,0,2,0,0.0
2357,1994,1,2,1,0.0
2359,1994,0,2,1,1.0
2360,1994,0,1,1,0.0
2366,1994,0,2,0,0.0
2368,1994,1,3,1,1.0
2374,1994,1,2,1,0.0
2378,1994,1,3,1,0.0
2380,1994,0,2,0,0.0
2381,1994,0,3,0,0.0
2385,1994,0,3,1,1.0
2386,1994,1,2,0,0.0
2388,1994,0,3,1,1.0
2389,1994,1,2,1,0.0
2392,1994,0,3,1,0.0
2396,1994,0,3,0,0.0
2398,1994,1,3,1,1.0
2399,1994,1,3,0,0.0
2400,1994,0,2,1,0.0
2401,1994,0,2,1,0.0
2402,1994,0,2,1,0.0
2404,1994,0,3,0,0.0
2413,1994,1,3,1,0.0
2415,1994,0,1,1,0.0
2420,1994,0,3,0,0.0
2423,1994,0,3,0,0.0
2424,1994,0,2,0,0.0
2426,1994,1,3,0,1.0
2427,1994,1,3,1,0.0
2437,1994,0,2,0,1.0
2439,1994,1,2,0,0.0
2440,1994,0,2,0,0.0
2443,1994,0,2,1,1.0
2447,1994,0,2,1,0.0
2448,1994,1,1,1,0.0
2449,1994,1,3,1,1.0
2450,1994,0,3,0,0.0
2455,1994,1,2,0,0.0
2456,1994,0,3,1,0.0
2459,1994,0,3,1,0.0
2461,1994,0,3,0,0.0
2462,1994,1,2,1,0.0
2464,1994,0,2,0,1.0
2468,1994,0,1,1,0.0
2469,1994,0,2,1,1.0
2471,1994,0,3,0,0.0
2472,1994,0,2,0,0.0
2474,1994,1,3,1,1.0
2477,1994,0,2,0,1.0
2478,1994,0,2,0,0.0
2479,1994,0,2,0,0.0
2482,1994,0,3,1,0.0
2483,1994,0,3,1,0.0
2484,1994,0,2,1,0.0
2485,1994,0,3,1,1.0
2494,1994,0,2,0,0.0
2495,1994,1,2,0,0.0
2496,1994,0,2,0,0.0
2497,1994,0,3,0,0.0
2498,1994,0,2,1,0.0
2500,1994,0,2,1,0.0
2501,1994,0,3,0,0.0
2504,1994,0,2,1,0.0
2506,1994,0,1,0,0.0
2507,1994,0,3,1,1.0
2508,1994,0,3,0,0.0
2509,1994,1,2,1,0.0
2510,1994,0,3,1,1.0
2511,1994,0,3,0,0.0
2513,1994,0,3,1,0.0
2514,1994,0,3,0,0.0
2517,1994,0,2,1,0.0
2524,1994,1,2,1,0.0
2525,1994,0,3,0,0.0
2526,1994,0,2,1,0.0
2527,1994,1,1,0,1.0
2529,1994,0,3,1,0.0
2532,1994,0,3,1,0.0
2533,1994,0,2,0,1.0
2535,1994,0,2,0,0.0
2541,1994,1,3,0,0.0
2542,1994,1,3,1,0.0
2544,1994,0,1,1,0.0
2551,1994,1,2,1,0.0
2552,1994,0,2,1,0.0
2555,1994,0,3,0,0.0
2557,1994,0,3,1,0.0
2558,1994,0,2,1,0.0
2559,1994,0,3,1,0.0
2560,1994,0,3,1,0.0
2561,1994,0,2,1,0.0
2564,1994,1,3,1,1.0
2567,1994,0,3,0,0.0
2569,1994,0,3,1,0.0
2573,1994,1,3,1,0.0
2574,1994,0,1,1,0.0
2580,1994,0,3,1,0.0
2582,1994,0,2,1,0.0
2586,1994,0,3,1,0.0
2587,1994,0,1,1,0.0
2588,1994,1,3,0,1.0
2592,1994,1,1,1,1.0
2593,1994,0,2,0,0.0
2594,1994,1,3,1,1.0
2595,1994,0,1,1,1.0
2597,1994,0,1,0,1.0
2599,1994,1,2,0,0.0
2602,1994,0,3,0,0.0
2606,1994,0,3,0,0.0
2607,1994,1,2,1,0.0
2608,1994,0,2,0,0.0
2611,1994,0,3,1,1.0
2614,1994,0,1,1,1.0
2615,1994,0,3,1,0.0
2618,1994,0,2,0,0.0
2623,1994,0,2,1,0.0
2625,1994,0,3,0,0.0
2626,1994,0,2,0,0.0
2627,1994,0,3,0,0.0
2628,1994,0,3,1,0.0
2630,1994,0,3,1,0.0
2632,1994,0,3,1,0.0
2635,1994,0,2,0,0.0
2639,1994,0,2,0,0.0
2641,1994,1,1,1,0.0
2644,1994,0,2,1,0.0
2645,1994,1,3,0,1.0
2647,1994,0,2,1,1.0
2648,1994,0,3,1,0.0
2649,1994,0,3,0,0.0
2651,1994,1,3,1,0.0
2653,1994,1,2,1,0.0
2654,1994,0,1,0,0.0
2655,1994,0,3,1,0.0
2656,1994,0,3,0,0.0
2657,1994,0,2,1,0.0
2658,1994,1,2,0,0.0
2660,1994,0,3,1,0.0
2661,1994,0,2,1,0.0
2664,1994,0,2,1,0.0
2665,1994,0,1,1,0.0
2666,1994,0,3,0,0.0
2670,1994,1,3,1,0.0
2671,1994,0,2,1,0.0
2673,1994,0,3,1,0.0
2674,1994,1,3,0,0.0
2678,1994,0,3,0,0.0
2679,1994,0,2,0,0.0
2683,1994,0,2,1,1.0
2685,1994,0,2,0,0.0
2686,1994,0,3,1,0.0
2688,1994,0,2,0,0.0
2689,1994,1,3,0,0.0
2691,1994,0,2,1,0.0
2693,1994,1,3,1,0.0
2694,1994,0,3,1,0.0
2696,1994,1,3,1,1.0
2697,1994,0,2,1,1.0
2699,1994,0,1,1,0.0
2700,1994,1,3,1,0.0
2702,1994,1,2,1,1.0
2704,1994,0,3,1,0.0
2706,1994,0,2,1,0.0
2707,1994,0,2,0,1.0
2709,1994,0,1,0,0.0
2712,1994,0,3,0,0.0
2713,1994,1,1,0,0.0
2714,1994,0,2,1,0.0
2716,1994,0,2,1,0.0
2717,1994,0,3,1,1.0
2719,1994,0,1,0,0.0
2721,1994,0,3,0,0.0
2725,1994,0,2,1,0.0
2727,1994,0,3,1,0.0
2728,1994,1,1,0,1.0
2729,1994,0,3,1,0.0
2732,1994,0,2,0,0.0
2734,1994,0,3,1,0.0
2735,1994,0,2,1,0.0
2737,1994,0,2,1,0.0
2739,1994,1,3,1,0.0
2740,1994,0,2,0,0.0
2741,1994,0,2,0,1.0
2744,1994,0,2,1,0.0
2747,1994,0,2,1,0.0
2750,1994,0,2,1,0.0
2755,1994,0,3,0,0.0
2756,1994,0,1,1,0.0
2760,1994,1,1,1,1.0
2761,1994,1,2,0,0.0
2763,1994,0,2,0,0.0
2765,1994,0,3,1,1.0
2767,1994,0,1,0,0.0
2768,1994,0,2,0,0.0
2770,1994,0,2,0,1.0
2772,1994,0,3,0,0.0
2773,1994,0,2,1,0.0
2776,1994,1,3,0,0.0
2777,1994,1,3,1,0.0
2778,1994,1,3,0,0.0
2780,1994,0,2,0,0.0
2781,1994,0,2,1,0.0
2785,1994,0,1,0,0.0
2792,1994,0,3,1,0.0
2793,1994,0,2,0,0.0
2795,1994,1,2,1,0.0
2797,1994,1,3,0,1.0
2803,1994,0,2,1,0.0
2804,1994,0,3,0,1.0
2805,1994,0,2,0,1.0
2806,1994,0,1,1,0.0
2808,1994,1,2,1,1.0
2809,1994,0,2,1,1.0
2810,1994,0,1,1,0.0
2812,1994,0,3,0,0.0
2815,1994,0,2,1,1.0
2816,1994,0,3,1,0.0
2820,1994,0,2,1,0.0
2823,1994,0,2,0,0.0
2825,1994,0,2,1,0.0
2826,1994,0,2,0,0.0
2828,1994,1,2,1,0.0
2830,1994,0,2,1,0.0
2831,1994,0,1,1,0.0
2835,1994,0,2,1,0.0
2836,1994,0,2,1,0.0
2837,1994,1,2,1,0.0
2838,1994,0,2,0,0.0
2839,1994,0,2,1,0.0
2840,1994,0,2,0,0.0
2841,1994,0,2,1,0.0
2842,1994,0,3,0,0.0
2847,1994,0,3,0,0.0
2853,1994,0,2,1,0.0
2854,1994,0,3,0,0.0
2855,1994,0,2,1,1.0
2859,1994,1,2,0,1.0
2860,1994,1,2,0,1.0
2861,1994,1,2,1,0.0
2862,1994,1,3,1,1.0
2863,1994,1,2,0,1.0
2865,1994,0,3,0,0.0
2867,1994,0,2,1,0.0
2870,1994,0,2,1,1.0
2875,1994,0,1,0,1.0
2877,1994,1,3,0,1.0
2880,1994,1,2,1,0.0
2883,1994,0,3,0,0.0
2884,1994,1,1,1,0.0
2888,1994,0,2,1,0.0
2892,1994,0,3,0,0.0
2893,1994,0,2,1,0.0
2894,1994,0,3,0,0.0
2896,1994,0,2,1,0.0
2897,1994,0,3,1,0.0
2899,1994,0,1,1,0.0
2901,1994,0,2,0,0.0
2902,1994,0,2,1,0.0
2906,1994,0,2,1,0.0
2908,1994,1,2,0,0.0
2911,1994,0,3,0,0.0
2915,1994,1,2,1,0.0
2916,1994,0,2,1,0.0
2918,1994,0,3,0,0.0
2919,1994,0,3,0,0.0
2920,1994,0,3,1,0.0
2921,1994,1,2,1,0.0
2922,1994,0,2,0,0.0
2928,1994,0,3,1,0.0
2930,1994,1,1,0,0.0
2933,1994,0,3,0,0.0
2935,1994,1,3,1,1.0
2937,1994,1,1,1,0.0
2938,1994,0,1,1,0.0
2940,1994,1,2,0,1.0
2944,1994,1,3,1,1.0
2950,1994,0,3,1,1.0
2954,1994,0,2,1,0.0
2955,1994,0,3,0,0.0
2956,1994,0,3,0,0.0
2961,1994,0,2,1,0.0
2971,1994,0,2,0,0.0
2972,1994,1,2,1,0.0
2973,1994,0,3,0,0.0
2977,1996,0,3,0,0.0
2980,1996,1,3,1,0.0
2993,1996,0,2,0,1.0
2995,1996,1,2,0,1.0
3000,1996,0,3,1,0.0
3003,1996,0,2,1,0.0
3007,1996,0,3,1,1.0
3008,1996,0,3,0,0.0
3024,1996,1,2,0,0.0
3027,1996,0,3,1,0.0
3028,1996,0,3,0,0.0
3038,1996,0,2,0,0.0
3044,1996,0,2,1,0.0
3045,1996,0,2,1,0.0
3048,1996,0,1,1,0.0
3060,1996,1,2,1,1.0
3064,1996,0,2,0,0.0
3065,1996,0,3,0,1.0
3067,1996,0,3,0,0.0
3069,1996,0,2,0,0.0
3076,1996,0,3,0,1.0
3078,1996,0,3,1,0.0
3079,1996,0,2,1,1.0
3089,1996,0,2,0,0.0
3092,1996,0,2,1,0.0
3093,1996,0,2,0,1.0
3098,1996,1,3,1,0.0
3102,1996,1,3,1,1.0
3105,1996,0,3,1,0.0
3107,1996,0,3,1,0.0
3108,1996,0,1,1,0.0
3109,1996,0,2,1,0.0
3111,1996,0,3,0,0.0
3115,1996,0,2,1,0.0
3127,1996,0,3,1,1.0
3130,1996,0,1,0,0.0
3132,1996,0,2,0,0.0
3134,1996,0,2,0,0.0
3137,1996,0,3,0,0.0
3138,1996,1,2,1,0.0
3139,1996,0,3,1,0.0
3144,1996,0,3,0,0.0
3145,1996,0,2,1,0.0
3149,1996,0,3,1,0.0
3150,1996,0,1,1,0.0
3151,1996,1,2,1,1.0
3152,1996,0,2,0,0.0
3155,1996,0,2,0,0.0
3157,1996,0,2,0,1.0
3158,1996,0,2,1,0.0
3159,1996,0,3,0,0.0
3160,1996,1,2,0,0.0
3161,1996,1,1,1,0.0
3167,1996,0,3,0,0.0
3168,1996,0,3,0,0.0
3169,1996,0,3,1,1.0
3174,1996,0,3,1,0.0
3176,1996,0,3,0,0.0
3177,1996,0,2,1,0.0
3180,1996,1,2,0,0.0
3181,1996,0,1,1,1.0
3182,1996,0,2,0,0.0
3183,1996,0,2,0,0.0
3184,1996,0,2,0,0.0
3186,1996,0,2,1,0.0
3193,1996,1,3,1,0.0
3194,1996,0,3,1,0.0
3195,1996,0,2,1,1.0
3196,1996,1,2,0,0.0
3202,1996,1,2,0,1.0
3208,1996,0,2,0,1.0
3210,1996,0,3,1,1.0
3211,1996,0,2,1,1.0
3213,1996,0,2,1,0.0
3215,1996,0,2,0,0.0
3218,1996,1,2,1,1.0
3226,1996,0,2,1,0.0
3227,1996,1,2,1,0.0
3230,1996,0,3,1,0.0
3231,1996,0,2,0,1.0
3232,1996,0,3,1,1.0
3233,1996,0,3,1,0.0
3234,1996,0,2,1,0.0
3236,1996,0,3,0,0.0
3238,1996,0,3,1,0.0
3239,1996,0,2,1,1.0
3243,1996,0,3,1,0.0
3245,1996,0,3,1,0.0
3252,1996,0,2,1,0.0
3253,1996,1,2,1,0.0
3259,1996,0,2,0,1.0
3260,1996,0,2,0,0.0
3261,1996,0,2,0,1.0
3264,1996,0,3,0,0.0
3268,1996,1,3,1,0.0
3270,1996,1,2,0,1.0
3275,1996,0,3,0,0.0
3276,1996,0,2,0,1.0
3280,1996,1,1,1,1.0
3283,1996,0,2,0,0.0
3284,1996,0,1,0,1.0
3287,1996,0,3,1,1.0
3290,1996,0,3,1,0.0
3291,1996,0,2,1,0.0
3294,1996,0,2,1,1.0
3296,1996,0,2,0,0.0
3298,1996,0,2,0,1.0
3299,1996,0,2,1,0.0
3300,1996,0,3,1,0.0
3302,1996,0,3,1,0.0
3304,1996,0,2,1,0.0
3305,1996,0,2,0,1.0
3306,1996,0,2,1,0.0
3308,1996,1,1,1,0.0
3309,1996,0,2,0,1.0
3320,1996,0,1,1,0.0
3321,1996,1,1,1,1.0
3323,1996,1,1,1,1.0
3324,1996,0,2,0,1.0
3327,1996,0,2,1,0.0
3337,1996,0,3,0,1.0
3339,1996,0,2,1,0.0
3340,1996,1,1,0,0.0
3347,1996,0,2,1,1.0
3350,1996,0,3,1,0.0
3351,1996,1,3,0,1.0
3352,1996,0,2,1,0.0
3355,1996,0,3,0,0.0
3356,1996,0,3,0,0.0
3357,1996,0,3,0,0.0
3358,1996,0,3,1,0.0
3361,1996,1,2,1,0.0
3363,1996,0,3,0,0.0
3365,1996,0,3,0,0.0
3369,1996,0,2,0,1.0
3371,1996,1,2,0,0.0
3373,1996,1,2,1,0.0
3377,1996,1,3,1,0.0
3379,1996,1,1,1,0.0
3380,1996,0,3,0,1.0
3381,1996,1,2,0,0.0
3387,1996,0,2,0,0.0
3388,1996,0,2,0,0.0
3389,1996,0,2,1,0.0
3390,1996,1,2,0,0.0
3391,1996,0,2,1,0.0
3396,1996,0,3,1,0.0
3399,1996,1,2,0,0.0
3400,1996,0,3,0,0.0
3406,1996,0,2,1,1.0
3410,1996,1,2,0,1.0
3415,1996,0,3,0,1.0
3418,1996,0,3,0,1.0
3421,1996,1,2,1,1.0
3426,1996,0,2,0,1.0
3427,1996,0,3,0,0.0
3430,1996,0,2,1,0.0
3435,1996,0,3,0,0.0
3439,1996,0,2,1,0.0
3441,1996,0,2,1,0.0
3442,1996,0,3,1,0.0
3443,1996,0,3,1,1.0
3449,1996,1,2,0,0.0
3450,1996,1,3,0,0.0
3453,1996,0,2,0,0.0
3454,1996,0,3,1,0.0
3455,1996,0,2,0,0.0
3456,1996,1,2,1,0.0
3460,1996,0,3,0,1.0
3461,1996,0,3,1,0.0
3467,1996,0,1,0,0.0
3468,1996,0,2,1,0.0
3469,1996,0,2,1,0.0
3478,1996,1,2,1,1.0
3480,1996,1,3,0,1.0
3481,1996,0,3,1,0.0
3484,1996,1,2,0,0.0
3486,1996,0,3,1,0.0
3487,1996,0,3,0,0.0
3489,1996,0,3,0,0.0
3491,1996,0,2,1,0.0
3496,1996,0,3,0,0.0
3497,1996,0,2,1,0.0
3503,1996,0,2,1,0.0
3504,1996,0,2,1,0.0
3505,1996,0,3,1,0.0
3506,1996,1,3,1,0.0
3507,1996,0,3,1,0.0
3509,1996,1,3,0,0.0
3513,1996,0,3,1,0.0
3515,1996,0,2,1,0.0
3519,1996,0,2,1,0.0
3522,1996,0,3,1,0.0
3523,1996,0,3,1,0.0
3528,1996,1,2,1,1.0
3529,1996,1,3,0,0.0
3530,1996,0,2,1,1.0
3532,1996,0,2,1,1.0
3534,1996,0,2,0,0.0
3537,1996,0,2,1,1.0
3539,1996,0,2,1,1.0
3542,1996,1,2,1,0.0
3543,1996,0,3,0,0.0
3544,1996,1,2,0,0.0
3546,1996,0,2,0,1.0
3548,1996,0,2,0,0.0
3552,1996,0,3,1,0.0
3559,1996,1,3,0,1.0
3560,1996,0,3,1,0.0
3575,1996,1,3,1,1.0
3583,1996,0,2,1,1.0
3588,1996,0,2,1,1.0
3593,1996,0,2,1,0.0
3596,1996,0,3,0,0.0
3602,1996,0,2,0,0.0
3604,1996,0,2,1,0.0
3607,1996,1,2,1,1.0
3609,1996,0,3,1,1.0
3610,1996,0,2,0,1.0
3613,1996,0,2,1,1.0
3614,1996,0,1,1,0.0
3616,1996,0,2,1,0.0
3619,1996,0,3,1,0.0
3624,1996,0,3,0,0.0
3625,1996,0,2,1,1.0
3626,1996,1,3,0,0.0
3631,1996,0,2,1,0.0
3632,1996,0,3,0,0.0
3633,1996,1,2,1,1.0
3639,1996,0,3,0,1.0
3641,1996,1,3,1,1.0
3643,1996,0,2,1,0.0
3644,1996,0,3,1,0.0
3645,1996,0,2,0,0.0
3651,1996,0,3,1,0.0
3652,1996,0,2,1,0.0
3657,1996,1,2,1,1.0
3658,1996,0,3,1,0.0
3661,1996,0,2,0,0.0
3663,1996,0,1,0,1.0
3665,1996,0,2,0,0.0
3666,1996,0,2,1,1.0
3668,1996,0,3,0,0.0
3669,1996,0,2,1,0.0
3675,1996,1,2,1,0.0
3677,1996,0,1,0,1.0
3683,1996,0,3,0,0.0
3692,1996,1,2,0,0.0
3693,1996,0,2,0,0.0
3696,1996,1,1,0,0.0
3700,1996,1,2,0,0.0
3701,1996,0,2,0,0.0
3702,1996,0,2,1,0.0
3703,1996,1,3,1,1.0
3705,1996,0,2,0,0.0
3706,1996,1,2,1,0.0
3708,1996,0,3,0,0.0
3709,1996,0,3,1,0.0
3712,1996,0,3,0,0.0
3714,1996,1,3,0,0.0
3717,1996,1,3,0,0.0
3718,1996,1,2,1,0.0
3720,1996,0,3,0,0.0
3721,1996,1,1,0,1.0
3722,1996,0,2,1,0.0
3727,1996,0,2,0,0.0
3728,1996,0,2,0,0.0
3731,1996,0,2,0,0.0
3732,1996,0,3,1,1.0
3733,1996,1,2,1,1.0
3737,1996,0,3,1,0.0
3739,1996,0,2,1,0.0
3740,1996,1,3,1,0.0
3741,1996,0,3,1,0.0
3742,1996,0,2,0,0.0
3744,1996,0,2,0,1.0
3745,1996,0,2,0,0.0
3746,1996,0,3,0,0.0
3748,1996,1,3,1,0.0
3749,1996,0,3,0,0.0
3750,1996,0,3,1,1.0
3752,1996,0,2,1,1.0
3753,1996,0,3,1,1.0
3755,1996,0,3,0,1.0
3757,1996,1,2,1,0.0
3761,1996,0,3,1,0.0
3763,1996,0,1,0,0.0
3764,1996,1,1,0,1.0
3775,1996,1,2,1,0.0
3781,1996,0,3,1,0.0
3782,1996,0,3,0,0.0
3783,1996,0,2,0,0.0
3790,1996,0,1,1,0.0
3796,1996,0,3,0,0.0
3804,1996,0,3,0,1.0
3807,1996,0,1,0,1.0
3809,1996,0,2,0,1.0
3810,1996,0,1,1,0.0
3811,1996,0,2,1,0.0
3824,1996,0,3,1,0.0
3827,1996,1,2,1,0.0
3828,1996,1,2,0,0.0
3835,1996,1,2,0,0.0
3837,1996,1,2,0,0.0
3838,1996,0,2,0,1.0
3840,1996,1,3,0,1.0
3841,1996,0,2,0,0.0
3858,1996,0,3,0,0.0
3863,1996,0,2,0,1.0
3865,1996,0,3,0,0.0
3872,1996,0,2,0,1.0
3875,1996,0,2,1,0.0
3883,1996,0,3,0,0.0
3886,1996,0,2,0,0.0
3887,1996,0,2,1,0.0
3888,1996,0,3,0,0.0
3892,1996,0,2,1,0.0
3898,1996,0,2,0,0.0
3901,1996,0,2,0,0.0
3902,1996,0,3,0,0.0
3905,1996,0,2,0,0.0
3908,1996,0,2,1,0.0
3909,1996,0,2,0,1.0
3912,1996,0,2,0,0.0
3914,1996,0,3,0,0.0
3915,1996,0,2,1,0.0
3916,1996,1,2,0,0.0
3918,1996,0,2,1,1.0
3924,1996,0,2,0,0.0
3930,1996,0,2,1,0.0
3931,1996,0,3,0,0.0
3932,1996,0,2,1,1.0
3935,1996,0,3,1,1.0
3946,1996,1,2,1,1.0
3947,1996,0,3,1,1.0
3949,1996,0,2,1,1.0
3950,1996,0,2,0,0.0
3952,1996,0,3,0,0.0
3953,1996,0,2,1,0.0
3958,1996,0,2,0,0.0
3959,1996,0,3,1,1.0
3961,1996,0,2,1,0.0
3971,1996,0,3,0,0.0
3974,1996,1,3,0,0.0
3975,1996,0,3,1,0.0
3976,1996,0,3,1,0.0
3982,1996,1,2,0,0.0
3983,1996,0,3,1,0.0
3984,1996,0,2,0,1.0
3986,1996,0,1,0,0.0
3990,1996,0,1,0,1.0
3992,1996,0,2,0,0.0
3993,1996,0,1,1,0.0
4005,1996,1,3,0,1.0
4006,1996,0,2,1,0.0
4011,1996,0,2,1,1.0
4012,1996,0,2,0,0.0
4013,1996,0,2,0,0.0
4016,1996,0,2,1,0.0
4017,1996,0,3,1,0.0
4022,1996,0,3,1,0.0
4031,1996,1,2,0,0.0
4032,1996,0,2,0,0.0
4034,1996,0,2,0,1.0
4035,1996,0,2,1,0.0
4038,1996,0,1,1,0.0
4040,1996,0,3,1,0.0
4044,1996,0,2,1,0.0
4048,1996,0,2,0,1.0
4049,1996,0,3,1,0.0
4051,1996,0,2,0,0.0
4053,1996,0,3,1,0.0
4054,1996,0,2,1,0.0
4057,1996,0,2,1,0.0
4071,1996,0,1,1,0.0
4072,1996,0,2,0,0.0
4078,1996,0,2,1,1.0
4081,1996,0,2,1,1.0
4083,1996,0,1,0,0.0
4088,1996,0,3,1,0.0
4089,1996,1,2,0,0.0
4090,1996,0,3,1,1.0
4092,1996,0,3,1,0.0
4096,1996,0,3,0,0.0
4097,1996,1,3,0,1.0
4103,1996,0,3,1,0.0
4104,1996,0,2,0,0.0
4105,1996,1,3,0,0.0
4106,1996,0,2,1,1.0
4108,1996,0,1,0,0.0
4114,1996,0,2,1,0.0
4115,1996,0,3,1,0.0
4118,1996,0,2,0,0.0
4119,1996,0,2,1,0.0
4121,1996,0,3,1,0.0
4123,1996,0,2,0,0.0
4125,1996,1,2,1,1.0
4127,1996,0,2,1,0.0
4129,1996,0,2,0,0.0
4132,1996,0,3,1,0.0
4138,1996,1,3,0,0.0
4139,1996,0,2,1,0.0
4140,1996,0,2,1,0.0
4142,1996,1,2,1,0.0
4145,1996,1,2,0,0.0
4146,1996,1,2,1,0.0
4148,1996,0,2,1,0.0
4152,1996,0,2,1,0.0
4154,1996,0,3,0,0.0
4155,1996,0,2,1,0.0
4156,1996,0,3,0,0.0
4157,1996,0,3,0,0.0
4158,1996,1,3,1,0.0
4159,1996,0,3,1,0.0
4163,1996,1,2,0,0.0
4165,1996,0,2,0,0.0
4166,1996,0,3,1,1.0
4169,1996,1,3,1,0.0
4170,1996,1,2,0,1.0
4173,1996,0,2,1,0.0
4178,1996,1,2,1,0.0
4182,1996,0,2,1,1.0
4184,1996,0,1,0,0.0
4185,1996,0,2,0,0.0
4199,1996,0,1,0,0.0
4200,1996,0,3,1,0.0
4211,1996,0,3,1,0.0
4215,1996,0,2,0,1.0
4222,1996,0,2,1,1.0
4223,1996,0,2,1,0.0
4225,1996,0,1,1,0.0
4226,1996,1,1,1,0.0
4227,1996,0,2,1,0.0
4231,1996,1,3,1,0.0
4235,1996,0,3,0,0.0
4236,1996,1,2,1,0.0
4237,1996,0,3,0,0.0
4238,1996,1,2,1,0.0
4243,1996,1,2,0,0.0
4244,1996,0,2,1,0.0
4249,1996,1,3,1,0.0
4252,1996,0,2,0,0.0
4256,1996,1,2,1,0.0
4259,1996,1,2,1,0.0
4260,1996,0,2,1,0.0
4261,1996,1,2,0,0.0
4262,1996,1,2,1,1.0
4267,1996,0,3,0,0.0
4269,1996,0,1,1,0.0
4271,1996,0,1,0,0.0
4272,1996,0,2,0,0.0
4274,1996,0,1,0,0.0
4276,1996,0,2,0,1.0
4280,1996,0,2,1,0.0
4281,1996,1,3,1,0.0
4291,1996,0,2,1,1.0
4292,1996,0,2,0,0.0
4295,1996,1,2,1,0.0
4297,1996,0,3,0,0.0
4298,1996,0,2,1,0.0
4299,1996,0,2,0,0.0
4300,1996,0,2,0,0.0
4302,1996,1,3,1,0.0
4307,1996,0,3,0,0.0
4312,1996,0,3,1,0.0
4315,1996,0,3,0,0.0
4320,1996,0,2,0,0.0
4322,1996,0,1,1,0.0
4323,1996,1,2,0,0.0
4324,1996,0,3,1,0.0
4327,1996,0,3,1,0.0
4329,1996,1,3,1,0.0
4333,1996,0,3,1,1.0
4334,1996,0,2,1,1.0
4335,1996,1,2,1,1.0
4339,1996,0,1,1,1.0
4341,1996,0,3,0,0.0
4342,1996,0,3,0,0.0
4343,1996,0,2,0,0.0
4345,1996,0,3,1,0.0
4346,1996,0,3,0,0.0
4349,1996,0,2,1,0.0
4350,1996,1,2,1,0.0
4351,1996,0,2,0,1.0
4360,1996,0,2,0,0.0
4361,1996,1,2,0,1.0
4362,1996,0,3,0,0.0
4364,1996,0,2,0,0.0
4365,1996,1,2,0,0.0
4370,1996,0,3,1,0.0
4371,1996,0,1,1,0.0
4372,1996,0,1,1,0.0
4373,1996,0,3,0,0.0
4377,1996,0,2,1,0.0
4378,1996,0,2,1,0.0
4380,1996,0,1,1,0.0
4384,1996,0,3,1,0.0
4385,1996,0,2,0,1.0
4386,1996,0,2,0,1.0
4387,1996,0,2,1,1.0
4388,1996,0,2,0,0.0
4389,1996,1,3,1,0.0
4392,1996,0,2,0,0.0
4393,1996,0,2,1,0.0
4397,1996,0,3,0,0.0
4399,1996,0,1,1,0.0
4406,1996,1,3,1,0.0
4409,1996,0,3,0,0.0
4411,1996,1,3,0,0.0
4412,1996,0,3,0,1.0
4414,1996,1,2,0,0.0
4417,1996,0,3,0,0.0
4419,1996,0,3,1,0.0
4426,1996,0,2,0,0.0
4431,1996,0,3,1,0.0
4432,1996,0,2,0,0.0
4434,1996,0,2,0,0.0
4440,1996,0,3,1,1.0
4441,1996,0,3,1,0.0
4442,1996,0,3,1,0.0
4443,1996,1,3,1,0.0
4445,1996,0,2,1,0.0
4446,1996,0,2,0,1.0
4449,1996,0,3,0,0.0
4450,1996,0,2,0,0.0
4455,1996,0,2,0,0.0
4459,1996,0,3,0,1.0
4462,1996,0,2,1,0.0
4470,1996,0,3,1,1.0
4471,1996,0,3,0,0.0
4476,1996,0,3,1,0.0
4477,1996,0,2,0,0.0
4478,1996,0,3,1,0.0
4479,1996,0,1,1,0.0
4483,1996,0,2,1,0.0
4484,1996,0,2,1,1.0
4485,1996,0,1,0,1.0
4488,1996,0,3,1,0.0
4492,1996,0,3,0,0.0
4493,1996,0,3,1,0.0
4497,1996,0,2,0,0.0
4498,1996,0,3,1,0.0
4499,1996,0,2,1,1.0
4500,1996,1,3,0,0.0
4502,1996,1,2,0,0.0
4504,1996,0,2,0,0.0
4509,1996,1,2,0,0.0
4512,1996,0,2,1,1.0
4513,1996,0,3,0,0.0
4518,1996,0,2,1,0.0
4519,1996,0,3,1,1.0
4520,1996,0,3,0,0.0
4522,1996,1,2,1,1.0
